format,metric,year,value_actual
8 - Track,Value (Adjusted),1973,2815.681824
8 - Track,Value (Adjusted),1974,2848.008609
8 - Track,Value (Adjusted),1975,2770.409498
8 - Track,Value (Adjusted),1976,3047.215772
8 - Track,Value (Adjusted),1977,3421.416287
8 - Track,Value (Adjusted),1978,3717.221411
8 - Track,Value (Adjusted),1979,2409.72569
8 - Track,Value (Adjusted),1980,1635.087852
8 - Track,Value (Adjusted),1981,880.3150825
8 - Track,Value (Adjusted),1982,95.37463212
8 - Track,Value (Adjusted),1983,
8 - Track,Value (Adjusted),1984,
8 - Track,Value (Adjusted),1985,
8 - Track,Value (Adjusted),1986,
8 - Track,Value (Adjusted),1987,
8 - Track,Value (Adjusted),1988,
8 - Track,Value (Adjusted),1989,
8 - Track,Value (Adjusted),1990,
8 - Track,Value (Adjusted),1991,
8 - Track,Value (Adjusted),1992,
8 - Track,Value (Adjusted),1993,
8 - Track,Value (Adjusted),1994,
8 - Track,Value (Adjusted),1995,
8 - Track,Value (Adjusted),1996,
8 - Track,Value (Adjusted),1997,
8 - Track,Value (Adjusted),1998,
8 - Track,Value (Adjusted),1999,
8 - Track,Value (Adjusted),2000,
8 - Track,Value (Adjusted),2001,
8 - Track,Value (Adjusted),2002,
8 - Track,Value (Adjusted),2003,
8 - Track,Value (Adjusted),2004,
8 - Track,Value (Adjusted),2005,
8 - Track,Value (Adjusted),2006,
8 - Track,Value (Adjusted),2007,
8 - Track,Value (Adjusted),2008,
8 - Track,Value (Adjusted),2009,
8 - Track,Value (Adjusted),2010,
8 - Track,Value (Adjusted),2011,
8 - Track,Value (Adjusted),2012,
8 - Track,Value (Adjusted),2013,
8 - Track,Value (Adjusted),2014,
8 - Track,Value (Adjusted),2015,
8 - Track,Value (Adjusted),2016,
8 - Track,Value (Adjusted),2017,
8 - Track,Value (Adjusted),2018,
8 - Track,Value (Adjusted),2019,
CD,Value (Adjusted),1973,
CD,Value (Adjusted),1974,
CD,Value (Adjusted),1975,
CD,Value (Adjusted),1976,
CD,Value (Adjusted),1977,
CD,Value (Adjusted),1978,
CD,Value (Adjusted),1979,
CD,Value (Adjusted),1980,
CD,Value (Adjusted),1981,
CD,Value (Adjusted),1982,
CD,Value (Adjusted),1983,44.14960241
CD,Value (Adjusted),1984,254.1806362
CD,Value (Adjusted),1985,925.4498281
CD,Value (Adjusted),1986,2169.585545
CD,Value (Adjusted),1987,3586.399606
CD,Value (Adjusted),1988,4516.462927
CD,Value (Adjusted),1989,5335.190475
CD,Value (Adjusted),1990,6751.535587
CD,Value (Adjusted),1991,8142.168641
CD,Value (Adjusted),1992,9706.037138
CD,Value (Adjusted),1993,11520.31135
CD,Value (Adjusted),1994,14601.94788
CD,Value (Adjusted),1995,15730.95769
CD,Value (Adjusted),1996,16187.86232
CD,Value (Adjusted),1997,15793.54966
CD,Value (Adjusted),1998,17905.40069
CD,Value (Adjusted),1999,19667.32779
CD,Value (Adjusted),2000,19618.92814
CD,Value (Adjusted),2001,18635.67745
CD,Value (Adjusted),2002,17115.94482
CD,Value (Adjusted),2003,15607.44302
CD,Value (Adjusted),2004,15491.67735
CD,Value (Adjusted),2005,13771.44276
CD,Value (Adjusted),2006,11885.76785
CD,Value (Adjusted),2007,9190.702658
CD,Value (Adjusted),2008,6496.779627
CD,Value (Adjusted),2009,5146.57822
CD,Value (Adjusted),2010,3973.859173
CD,Value (Adjusted),2011,3524.136143
CD,Value (Adjusted),2012,2767.776149
CD,Value (Adjusted),2013,2349.534897
CD,Value (Adjusted),2014,1918.215115
CD,Value (Adjusted),2015,1558.633452
CD,Value (Adjusted),2016,1204.497778
CD,Value (Adjusted),2017,1102.774352
CD,Value (Adjusted),2018,711.0412395
CD,Value (Adjusted),2019,614.5097799
CD Single,Value (Adjusted),1973,
CD Single,Value (Adjusted),1974,
CD Single,Value (Adjusted),1975,
CD Single,Value (Adjusted),1976,
CD Single,Value (Adjusted),1977,
CD Single,Value (Adjusted),1978,
CD Single,Value (Adjusted),1979,
CD Single,Value (Adjusted),1980,
CD Single,Value (Adjusted),1981,
CD Single,Value (Adjusted),1982,
CD Single,Value (Adjusted),1983,
CD Single,Value (Adjusted),1984,
CD Single,Value (Adjusted),1985,
CD Single,Value (Adjusted),1986,
CD Single,Value (Adjusted),1987,
CD Single,Value (Adjusted),1988,21.17868639
CD Single,Value (Adjusted),1989,
CD Single,Value (Adjusted),1990,11.73635807
CD Single,Value (Adjusted),1991,65.88517401
CD Single,Value (Adjusted),1992,82.1819722
CD Single,Value (Adjusted),1993,81.03176886
CD Single,Value (Adjusted),1994,96.77704251
CD Single,Value (Adjusted),1995,186.0391161
CD Single,Value (Adjusted),1996,299.9773977
CD Single,Value (Adjusted),1997,434.3779682
CD Single,Value (Adjusted),1998,334.3930822
CD Single,Value (Adjusted),1999,341.2852149
CD Single,Value (Adjusted),2000,211.8597787
CD Single,Value (Adjusted),2001,114.6197956
CD Single,Value (Adjusted),2002,27.85368093
CD Single,Value (Adjusted),2003,50.01984783
CD Single,Value (Adjusted),2004,20.30097935
CD Single,Value (Adjusted),2005,14.26861905
CD Single,Value (Adjusted),2006,9.764677083
CD Single,Value (Adjusted),2007,15.04590159
CD Single,Value (Adjusted),2008,4.156001078
CD Single,Value (Adjusted),2009,3.694172567
CD Single,Value (Adjusted),2010,3.400068331
CD Single,Value (Adjusted),2011,3.977965137
CD Single,Value (Adjusted),2012,3.59119832
CD Single,Value (Adjusted),2013,2.684056894
CD Single,Value (Adjusted),2014,3.905023683
CD Single,Value (Adjusted),2015,1.291079457
CD Single,Value (Adjusted),2016,0.280361354
CD Single,Value (Adjusted),2017,1.542258972
CD Single,Value (Adjusted),2018,0.157981482
CD Single,Value (Adjusted),2019,0.181678878
Cassette,Value (Adjusted),1973,437.6110811
Cassette,Value (Adjusted),1974,452.1965598
Cassette,Value (Adjusted),1975,469.4964981
Cassette,Value (Adjusted),1976,654.6436714
Cassette,Value (Adjusted),1977,1053.003089
Cassette,Value (Adjusted),1978,1763.71961
Cassette,Value (Adjusted),1979,2044.551711
Cassette,Value (Adjusted),1980,2187.356614
Cassette,Value (Adjusted),1981,2989.133769
Cassette,Value (Adjusted),1982,3667.949394
Cassette,Value (Adjusted),1983,4648.285756
Cassette,Value (Adjusted),1984,5865.839483
Cassette,Value (Adjusted),1985,5729.710553
Cassette,Value (Adjusted),1986,5830.425835
Cassette,Value (Adjusted),1987,6660.810061
Cassette,Value (Adjusted),1988,7315.507276
Cassette,Value (Adjusted),1989,6898.20315
Cassette,Value (Adjusted),1990,6792.221628
Cassette,Value (Adjusted),1991,5668.002035
Cassette,Value (Adjusted),1992,5678.573835
Cassette,Value (Adjusted),1993,5158.786717
Cassette,Value (Adjusted),1994,5134.531004
Cassette,Value (Adjusted),1995,3864.379693
Cassette,Value (Adjusted),1996,3104.546094
Cassette,Value (Adjusted),1997,2425.476099
Cassette,Value (Adjusted),1998,2227.039106
Cassette,Value (Adjusted),1999,1629.084461
Cassette,Value (Adjusted),2000,929.3918815
Cassette,Value (Adjusted),2001,524.5948831
Cassette,Value (Adjusted),2002,298.1480745
Cassette,Value (Adjusted),2003,150.1984875
Cassette,Value (Adjusted),2004,32.07554738
Cassette,Value (Adjusted),2005,17.14852381
Cassette,Value (Adjusted),2006,4.69211756
Cassette,Value (Adjusted),2007,3.699811867
Cassette,Value (Adjusted),2008,1.068685991
Cassette,Value (Adjusted),2009,
Cassette,Value (Adjusted),2010,
Cassette,Value (Adjusted),2011,
Cassette,Value (Adjusted),2012,
Cassette,Value (Adjusted),2013,
Cassette,Value (Adjusted),2014,
Cassette,Value (Adjusted),2015,
Cassette,Value (Adjusted),2016,
Cassette,Value (Adjusted),2017,
Cassette,Value (Adjusted),2018,
Cassette,Value (Adjusted),2019,
Cassette Single,Value (Adjusted),1973,
Cassette Single,Value (Adjusted),1974,
Cassette Single,Value (Adjusted),1975,
Cassette Single,Value (Adjusted),1976,
Cassette Single,Value (Adjusted),1977,
Cassette Single,Value (Adjusted),1978,
Cassette Single,Value (Adjusted),1979,
Cassette Single,Value (Adjusted),1980,
Cassette Single,Value (Adjusted),1981,
Cassette Single,Value (Adjusted),1982,
Cassette Single,Value (Adjusted),1983,
Cassette Single,Value (Adjusted),1984,
Cassette Single,Value (Adjusted),1985,
Cassette Single,Value (Adjusted),1986,
Cassette Single,Value (Adjusted),1987,32.18217518
Cassette Single,Value (Adjusted),1988,123.8304827
Cassette Single,Value (Adjusted),1989,401.21655
Cassette Single,Value (Adjusted),1990,504.4677911
Cassette Single,Value (Adjusted),1991,432.4770396
Cassette Single,Value (Adjusted),1992,544.4783436
Cassette Single,Value (Adjusted),1993,528.1218997
Cassette Single,Value (Adjusted),1994,474.2247591
Cassette Single,Value (Adjusted),1995,396.4025532
Cassette Single,Value (Adjusted),1996,308.4504149
Cassette Single,Value (Adjusted),1997,212.6492804
Cassette Single,Value (Adjusted),1998,148.0614773
Cassette Single,Value (Adjusted),1999,73.65867947
Cassette Single,Value (Adjusted),2000,6.829397213
Cassette Single,Value (Adjusted),2001,
Cassette Single,Value (Adjusted),2002,
Cassette Single,Value (Adjusted),2003,
Cassette Single,Value (Adjusted),2004,
Cassette Single,Value (Adjusted),2005,
Cassette Single,Value (Adjusted),2006,
Cassette Single,Value (Adjusted),2007,
Cassette Single,Value (Adjusted),2008,
Cassette Single,Value (Adjusted),2009,
Cassette Single,Value (Adjusted),2010,
Cassette Single,Value (Adjusted),2011,
Cassette Single,Value (Adjusted),2012,
Cassette Single,Value (Adjusted),2013,
Cassette Single,Value (Adjusted),2014,
Cassette Single,Value (Adjusted),2015,
Cassette Single,Value (Adjusted),2016,
Cassette Single,Value (Adjusted),2017,
Cassette Single,Value (Adjusted),2018,
Cassette Single,Value (Adjusted),2019,
DVD Audio,Value (Adjusted),1973,
DVD Audio,Value (Adjusted),1974,
DVD Audio,Value (Adjusted),1975,
DVD Audio,Value (Adjusted),1976,
DVD Audio,Value (Adjusted),1977,
DVD Audio,Value (Adjusted),1978,
DVD Audio,Value (Adjusted),1979,
DVD Audio,Value (Adjusted),1980,
DVD Audio,Value (Adjusted),1981,
DVD Audio,Value (Adjusted),1982,
DVD Audio,Value (Adjusted),1983,
DVD Audio,Value (Adjusted),1984,
DVD Audio,Value (Adjusted),1985,
DVD Audio,Value (Adjusted),1986,
DVD Audio,Value (Adjusted),1987,
DVD Audio,Value (Adjusted),1988,
DVD Audio,Value (Adjusted),1989,
DVD Audio,Value (Adjusted),1990,
DVD Audio,Value (Adjusted),1991,
DVD Audio,Value (Adjusted),1992,
DVD Audio,Value (Adjusted),1993,
DVD Audio,Value (Adjusted),1994,
DVD Audio,Value (Adjusted),1995,
DVD Audio,Value (Adjusted),1996,
DVD Audio,Value (Adjusted),1997,
DVD Audio,Value (Adjusted),1998,
DVD Audio,Value (Adjusted),1999,
DVD Audio,Value (Adjusted),2000,
DVD Audio,Value (Adjusted),2001,8.661445511
DVD Audio,Value (Adjusted),2002,12.07940245
DVD Audio,Value (Adjusted),2003,11.11552174
DVD Audio,Value (Adjusted),2004,8.797091053
DVD Audio,Value (Adjusted),2005,14.66133333
DVD Audio,Value (Adjusted),2006,3.043535714
DVD Audio,Value (Adjusted),2007,3.453157742
DVD Audio,Value (Adjusted),2008,1.424914655
DVD Audio,Value (Adjusted),2009,1.906669712
DVD Audio,Value (Adjusted),2010,1.05519362
DVD Audio,Value (Adjusted),2011,0.34096844
DVD Audio,Value (Adjusted),2012,0.20389289
DVD Audio,Value (Adjusted),2013,
DVD Audio,Value (Adjusted),2014,2.310456232
DVD Audio,Value (Adjusted),2015,5.842187676
DVD Audio,Value (Adjusted),2016,3.020431045
DVD Audio,Value (Adjusted),2017,2.718901189
DVD Audio,Value (Adjusted),2018,3.377493968
DVD Audio,Value (Adjusted),2019,1.067303184
Download Album,Value (Adjusted),1973,
Download Album,Value (Adjusted),1974,
Download Album,Value (Adjusted),1975,
Download Album,Value (Adjusted),1976,
Download Album,Value (Adjusted),1977,
Download Album,Value (Adjusted),1978,
Download Album,Value (Adjusted),1979,
Download Album,Value (Adjusted),1980,
Download Album,Value (Adjusted),1981,
Download Album,Value (Adjusted),1982,
Download Album,Value (Adjusted),1983,
Download Album,Value (Adjusted),1984,
Download Album,Value (Adjusted),1985,
Download Album,Value (Adjusted),1986,
Download Album,Value (Adjusted),1987,
Download Album,Value (Adjusted),1988,
Download Album,Value (Adjusted),1989,
Download Album,Value (Adjusted),1990,
Download Album,Value (Adjusted),1991,
Download Album,Value (Adjusted),1992,
Download Album,Value (Adjusted),1993,
Download Album,Value (Adjusted),1994,
Download Album,Value (Adjusted),1995,
Download Album,Value (Adjusted),1996,
Download Album,Value (Adjusted),1997,
Download Album,Value (Adjusted),1998,
Download Album,Value (Adjusted),1999,
Download Album,Value (Adjusted),2000,
Download Album,Value (Adjusted),2001,
Download Album,Value (Adjusted),2002,
Download Album,Value (Adjusted),2003,
Download Album,Value (Adjusted),2004,61.57963737
Download Album,Value (Adjusted),2005,177.6377619
Download Album,Value (Adjusted),2006,349.8797932
Download Album,Value (Adjusted),2007,613.4288075
Download Album,Value (Adjusted),2008,754.373567
Download Album,Value (Adjusted),2009,886.9589166
Download Album,Value (Adjusted),2010,1022.834349
Download Album,Value (Adjusted),2011,1217.03002
Download Album,Value (Adjusted),2012,1341.590983
Download Album,Value (Adjusted),2013,1352.202953
Download Album,Value (Adjusted),2014,1207.247578
Download Album,Value (Adjusted),2015,1148.145081
Download Album,Value (Adjusted),2016,925.232201
Download Album,Value (Adjusted),2017,697.2376182
Download Album,Value (Adjusted),2018,508.7043884
Download Album,Value (Adjusted),2019,394.5330062
Download Music Video,Value (Adjusted),1973,
Download Music Video,Value (Adjusted),1974,
Download Music Video,Value (Adjusted),1975,
Download Music Video,Value (Adjusted),1976,
Download Music Video,Value (Adjusted),1977,
Download Music Video,Value (Adjusted),1978,
Download Music Video,Value (Adjusted),1979,
Download Music Video,Value (Adjusted),1980,
Download Music Video,Value (Adjusted),1981,
Download Music Video,Value (Adjusted),1982,
Download Music Video,Value (Adjusted),1983,
Download Music Video,Value (Adjusted),1984,
Download Music Video,Value (Adjusted),1985,
Download Music Video,Value (Adjusted),1986,
Download Music Video,Value (Adjusted),1987,
Download Music Video,Value (Adjusted),1988,
Download Music Video,Value (Adjusted),1989,
Download Music Video,Value (Adjusted),1990,
Download Music Video,Value (Adjusted),1991,
Download Music Video,Value (Adjusted),1992,
Download Music Video,Value (Adjusted),1993,
Download Music Video,Value (Adjusted),1994,
Download Music Video,Value (Adjusted),1995,
Download Music Video,Value (Adjusted),1996,
Download Music Video,Value (Adjusted),1997,
Download Music Video,Value (Adjusted),1998,
Download Music Video,Value (Adjusted),1999,
Download Music Video,Value (Adjusted),2000,
Download Music Video,Value (Adjusted),2001,
Download Music Video,Value (Adjusted),2002,
Download Music Video,Value (Adjusted),2003,
Download Music Video,Value (Adjusted),2004,
Download Music Video,Value (Adjusted),2005,4.84347619
Download Music Video,Value (Adjusted),2006,24.98235566
Download Music Video,Value (Adjusted),2007,34.77823155
Download Music Video,Value (Adjusted),2008,49.04081272
Download Music Video,Value (Adjusted),2009,48.73924451
Download Music Video,Value (Adjusted),2010,42.91120721
Download Music Video,Value (Adjusted),2011,36.82459156
Download Music Video,Value (Adjusted),2012,23.20820694
Download Music Video,Value (Adjusted),2013,18.37207499
Download Music Video,Value (Adjusted),2014,14.6621972
Download Music Video,Value (Adjusted),2015,6.918875516
Download Music Video,Value (Adjusted),2016,4.547792467
Download Music Video,Value (Adjusted),2017,2.905533136
Download Music Video,Value (Adjusted),2018,2.261051168
Download Music Video,Value (Adjusted),2019,1.858910402
Download Single,Value (Adjusted),1973,
Download Single,Value (Adjusted),1974,
Download Single,Value (Adjusted),1975,
Download Single,Value (Adjusted),1976,
Download Single,Value (Adjusted),1977,
Download Single,Value (Adjusted),1978,
Download Single,Value (Adjusted),1979,
Download Single,Value (Adjusted),1980,
Download Single,Value (Adjusted),1981,
Download Single,Value (Adjusted),1982,
Download Single,Value (Adjusted),1983,
Download Single,Value (Adjusted),1984,
Download Single,Value (Adjusted),1985,
Download Single,Value (Adjusted),1986,
Download Single,Value (Adjusted),1987,
Download Single,Value (Adjusted),1988,
Download Single,Value (Adjusted),1989,
Download Single,Value (Adjusted),1990,
Download Single,Value (Adjusted),1991,
Download Single,Value (Adjusted),1992,
Download Single,Value (Adjusted),1993,
Download Single,Value (Adjusted),1994,
Download Single,Value (Adjusted),1995,
Download Single,Value (Adjusted),1996,
Download Single,Value (Adjusted),1997,
Download Single,Value (Adjusted),1998,
Download Single,Value (Adjusted),1999,
Download Single,Value (Adjusted),2000,
Download Single,Value (Adjusted),2001,
Download Single,Value (Adjusted),2002,
Download Single,Value (Adjusted),2003,
Download Single,Value (Adjusted),2004,186.7690101
Download Single,Value (Adjusted),2005,475.577
Download Single,Value (Adjusted),2006,736.2820149
Download Single,Value (Adjusted),2007,1000.182475
Download Single,Value (Adjusted),2008,1225.664089
Download Single,Value (Adjusted),2009,1396.635564
Download Single,Value (Adjusted),2010,1566.845282
Download Single,Value (Adjusted),2011,1730.301179
Download Single,Value (Adjusted),2012,1831.258646
Download Single,Value (Adjusted),2013,1726.739156
Download Single,Value (Adjusted),2014,1463.655387
Download Single,Value (Adjusted),2015,1278.449595
Download Single,Value (Adjusted),2016,958.8791031
Download Single,Value (Adjusted),2017,707.6927112
Download Single,Value (Adjusted),2018,499.3169742
Download Single,Value (Adjusted),2019,414.804251
Kiosk,Value (Adjusted),1973,
Kiosk,Value (Adjusted),1974,
Kiosk,Value (Adjusted),1975,
Kiosk,Value (Adjusted),1976,
Kiosk,Value (Adjusted),1977,
Kiosk,Value (Adjusted),1978,
Kiosk,Value (Adjusted),1979,
Kiosk,Value (Adjusted),1980,
Kiosk,Value (Adjusted),1981,
Kiosk,Value (Adjusted),1982,
Kiosk,Value (Adjusted),1983,
Kiosk,Value (Adjusted),1984,
Kiosk,Value (Adjusted),1985,
Kiosk,Value (Adjusted),1986,
Kiosk,Value (Adjusted),1987,
Kiosk,Value (Adjusted),1988,
Kiosk,Value (Adjusted),1989,
Kiosk,Value (Adjusted),1990,
Kiosk,Value (Adjusted),1991,
Kiosk,Value (Adjusted),1992,
Kiosk,Value (Adjusted),1993,
Kiosk,Value (Adjusted),1994,
Kiosk,Value (Adjusted),1995,
Kiosk,Value (Adjusted),1996,
Kiosk,Value (Adjusted),1997,
Kiosk,Value (Adjusted),1998,
Kiosk,Value (Adjusted),1999,
Kiosk,Value (Adjusted),2000,
Kiosk,Value (Adjusted),2001,
Kiosk,Value (Adjusted),2002,
Kiosk,Value (Adjusted),2003,
Kiosk,Value (Adjusted),2004,
Kiosk,Value (Adjusted),2005,1.309047619
Kiosk,Value (Adjusted),2006,2.409465774
Kiosk,Value (Adjusted),2007,3.206503618
Kiosk,Value (Adjusted),2008,3.087315086
Kiosk,Value (Adjusted),2009,7.507511991
Kiosk,Value (Adjusted),2010,7.503599075
Kiosk,Value (Adjusted),2011,3.068715963
Kiosk,Value (Adjusted),2012,4.068866328
Kiosk,Value (Adjusted),2013,6.786152156
Kiosk,Value (Adjusted),2014,2.789051821
Kiosk,Value (Adjusted),2015,3.99147413
Kiosk,Value (Adjusted),2016,3.13587911
Kiosk,Value (Adjusted),2017,2.351668038
Kiosk,Value (Adjusted),2018,2.000651969
Kiosk,Value (Adjusted),2019,1.586470587
LP/EP,Value (Adjusted),1973,7174.518514
LP/EP,Value (Adjusted),1974,7031.863935
LP/EP,Value (Adjusted),1975,7056.703439
LP/EP,Value (Adjusted),1976,7472.013902
LP/EP,Value (Adjusted),1977,9260.605292
LP/EP,Value (Adjusted),1978,9698.105186
LP/EP,Value (Adjusted),1979,7243.615
LP/EP,Value (Adjusted),1980,6825.793689
LP/EP,Value (Adjusted),1981,6586.050571
LP/EP,Value (Adjusted),1982,5100.158453
LP/EP,Value (Adjusted),1983,4335.388283
LP/EP,Value (Adjusted),1984,3810.987118
LP/EP,Value (Adjusted),1985,3042.46086
LP/EP,Value (Adjusted),1986,2292.982035
LP/EP,Value (Adjusted),1987,1784.872946
LP/EP,Value (Adjusted),1988,1150.132336
LP/EP,Value (Adjusted),1989,454.203525
LP/EP,Value (Adjusted),1990,169.1991622
LP/EP,Value (Adjusted),1991,55.18587225
LP/EP,Value (Adjusted),1992,24.59992516
LP/EP,Value (Adjusted),1993,18.75407751
LP/EP,Value (Adjusted),1994,30.7064413
LP/EP,Value (Adjusted),1995,42.10623819
LP/EP,Value (Adjusted),1996,59.96289101
LP/EP,Value (Adjusted),1997,53.04285421
LP/EP,Value (Adjusted),1998,53.32722699
LP/EP,Value (Adjusted),1999,48.79887515
LP/EP,Value (Adjusted),2000,41.12484843
LP/EP,Value (Adjusted),2001,39.5539345
LP/EP,Value (Adjusted),2002,29.13267649
LP/EP,Value (Adjusted),2003,30.15085272
LP/EP,Value (Adjusted),2004,26.12059344
LP/EP,Value (Adjusted),2005,18.58847619
LP/EP,Value (Adjusted),2006,19.90979613
LP/EP,Value (Adjusted),2007,28.24189725
LP/EP,Value (Adjusted),2008,67.32721746
LP/EP,Value (Adjusted),2009,76.02845477
LP/EP,Value (Adjusted),2010,104.2296809
LP/EP,Value (Adjusted),2011,135.7054393
LP/EP,Value (Adjusted),2012,178.9679822
LP/EP,Value (Adjusted),2013,231.2740702
LP/EP,Value (Adjusted),2014,263.3361791
LP/EP,Value (Adjusted),2015,359.5981629
LP/EP,Value (Adjusted),2016,378.607271
LP/EP,Value (Adjusted),2017,405.2120773
LP/EP,Value (Adjusted),2018,426.8201866
LP/EP,Value (Adjusted),2019,497.5889208
Limited Tier Paid Subscription,Value (Adjusted),1973,
Limited Tier Paid Subscription,Value (Adjusted),1974,
Limited Tier Paid Subscription,Value (Adjusted),1975,
Limited Tier Paid Subscription,Value (Adjusted),1976,
Limited Tier Paid Subscription,Value (Adjusted),1977,
Limited Tier Paid Subscription,Value (Adjusted),1978,
Limited Tier Paid Subscription,Value (Adjusted),1979,
Limited Tier Paid Subscription,Value (Adjusted),1980,
Limited Tier Paid Subscription,Value (Adjusted),1981,
Limited Tier Paid Subscription,Value (Adjusted),1982,
Limited Tier Paid Subscription,Value (Adjusted),1983,
Limited Tier Paid Subscription,Value (Adjusted),1984,
Limited Tier Paid Subscription,Value (Adjusted),1985,
Limited Tier Paid Subscription,Value (Adjusted),1986,
Limited Tier Paid Subscription,Value (Adjusted),1987,
Limited Tier Paid Subscription,Value (Adjusted),1988,
Limited Tier Paid Subscription,Value (Adjusted),1989,
Limited Tier Paid Subscription,Value (Adjusted),1990,
Limited Tier Paid Subscription,Value (Adjusted),1991,
Limited Tier Paid Subscription,Value (Adjusted),1992,
Limited Tier Paid Subscription,Value (Adjusted),1993,
Limited Tier Paid Subscription,Value (Adjusted),1994,
Limited Tier Paid Subscription,Value (Adjusted),1995,
Limited Tier Paid Subscription,Value (Adjusted),1996,
Limited Tier Paid Subscription,Value (Adjusted),1997,
Limited Tier Paid Subscription,Value (Adjusted),1998,
Limited Tier Paid Subscription,Value (Adjusted),1999,
Limited Tier Paid Subscription,Value (Adjusted),2000,
Limited Tier Paid Subscription,Value (Adjusted),2001,
Limited Tier Paid Subscription,Value (Adjusted),2002,
Limited Tier Paid Subscription,Value (Adjusted),2003,
Limited Tier Paid Subscription,Value (Adjusted),2004,
Limited Tier Paid Subscription,Value (Adjusted),2005,
Limited Tier Paid Subscription,Value (Adjusted),2006,
Limited Tier Paid Subscription,Value (Adjusted),2007,
Limited Tier Paid Subscription,Value (Adjusted),2008,
Limited Tier Paid Subscription,Value (Adjusted),2009,
Limited Tier Paid Subscription,Value (Adjusted),2010,
Limited Tier Paid Subscription,Value (Adjusted),2011,
Limited Tier Paid Subscription,Value (Adjusted),2012,
Limited Tier Paid Subscription,Value (Adjusted),2013,
Limited Tier Paid Subscription,Value (Adjusted),2014,
Limited Tier Paid Subscription,Value (Adjusted),2015,
Limited Tier Paid Subscription,Value (Adjusted),2016,280.5366913
Limited Tier Paid Subscription,Value (Adjusted),2017,617.032318
Limited Tier Paid Subscription,Value (Adjusted),2018,760.591366
Limited Tier Paid Subscription,Value (Adjusted),2019,829.4987397
Music Video (Physical),Value (Adjusted),1973,
Music Video (Physical),Value (Adjusted),1974,
Music Video (Physical),Value (Adjusted),1975,
Music Video (Physical),Value (Adjusted),1976,
Music Video (Physical),Value (Adjusted),1977,
Music Video (Physical),Value (Adjusted),1978,
Music Video (Physical),Value (Adjusted),1979,
Music Video (Physical),Value (Adjusted),1980,
