format,metric,year,value_actual
Music Video (Physical),Value (Adjusted),1981,
Music Video (Physical),Value (Adjusted),1982,
Music Video (Physical),Value (Adjusted),1983,
Music Video (Physical),Value (Adjusted),1984,
Music Video (Physical),Value (Adjusted),1985,
Music Video (Physical),Value (Adjusted),1986,
Music Video (Physical),Value (Adjusted),1987,
Music Video (Physical),Value (Adjusted),1988,
Music Video (Physical),Value (Adjusted),1989,237.92595
Music Video (Physical),Value (Adjusted),1990,337.0290826
Music Video (Physical),Value (Adjusted),1991,221.6820242
Music Video (Physical),Value (Adjusted),1992,286.8169052
Music Video (Physical),Value (Adjusted),1993,377.3815785
Music Video (Physical),Value (Adjusted),1994,398.6662126
Music Video (Physical),Value (Adjusted),1995,369.5619232
Music Video (Physical),Value (Adjusted),1996,384.7075698
Music Video (Physical),Value (Adjusted),1997,515.9333477
Music Video (Physical),Value (Adjusted),1998,796.7715092
Music Video (Physical),Value (Adjusted),1999,578.0671783
Music Video (Physical),Value (Adjusted),2000,418.523277
Music Video (Physical),Value (Adjusted),2001,475.2246437
Music Video (Physical),Value (Adjusted),2002,409.8470195
Music Video (Physical),Value (Adjusted),2003,555.6371429
Music Video (Physical),Value (Adjusted),2004,821.7836443
Music Video (Physical),Value (Adjusted),2005,788.3084762
Music Video (Physical),Value (Adjusted),2006,572.0579003
Music Video (Physical),Value (Adjusted),2007,598.0129247
Music Video (Physical),Value (Adjusted),2008,269.9025843
Music Video (Physical),Value (Adjusted),2009,249.7737323
Music Video (Physical),Value (Adjusted),2010,208.2248743
Music Video (Physical),Value (Adjusted),2011,171.6207816
Music Video (Physical),Value (Adjusted),2012,129.8513772
Music Video (Physical),Value (Adjusted),2013,116.6396724
Music Video (Physical),Value (Adjusted),2014,96.87525106
Music Video (Physical),Value (Adjusted),2015,75.97361449
Music Video (Physical),Value (Adjusted),2016,60.63464218
Music Video (Physical),Value (Adjusted),2017,40.27958535
Music Video (Physical),Value (Adjusted),2018,28.06066388
Music Video (Physical),Value (Adjusted),2019,27.70524678
On-Demand Streaming (Ad-Supported),Value (Adjusted),1973,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1974,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1975,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1976,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1977,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1978,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1979,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1980,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1981,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1982,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1983,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1984,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1985,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1986,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1987,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1988,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1989,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1990,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1991,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1992,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1993,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1994,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1995,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1996,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1997,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1998,
On-Demand Streaming (Ad-Supported),Value (Adjusted),1999,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2000,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2001,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2002,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2003,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2004,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2005,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2006,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2007,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2008,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2009,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2010,
On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,129.340695
On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,190.3396156
On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,242.3960978
On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,306.475448
On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,401.2452641
On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,521.288175
On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,686.9180813
On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,773.2949167
On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,908.1493305
Other Ad-Supported Streaming,Value (Adjusted),1973,
Other Ad-Supported Streaming,Value (Adjusted),1974,
Other Ad-Supported Streaming,Value (Adjusted),1975,
Other Ad-Supported Streaming,Value (Adjusted),1976,
Other Ad-Supported Streaming,Value (Adjusted),1977,
Other Ad-Supported Streaming,Value (Adjusted),1978,
Other Ad-Supported Streaming,Value (Adjusted),1979,
Other Ad-Supported Streaming,Value (Adjusted),1980,
Other Ad-Supported Streaming,Value (Adjusted),1981,
Other Ad-Supported Streaming,Value (Adjusted),1982,
Other Ad-Supported Streaming,Value (Adjusted),1983,
Other Ad-Supported Streaming,Value (Adjusted),1984,
Other Ad-Supported Streaming,Value (Adjusted),1985,
Other Ad-Supported Streaming,Value (Adjusted),1986,
Other Ad-Supported Streaming,Value (Adjusted),1987,
Other Ad-Supported Streaming,Value (Adjusted),1988,
Other Ad-Supported Streaming,Value (Adjusted),1989,
Other Ad-Supported Streaming,Value (Adjusted),1990,
Other Ad-Supported Streaming,Value (Adjusted),1991,
Other Ad-Supported Streaming,Value (Adjusted),1992,
Other Ad-Supported Streaming,Value (Adjusted),1993,
Other Ad-Supported Streaming,Value (Adjusted),1994,
Other Ad-Supported Streaming,Value (Adjusted),1995,
Other Ad-Supported Streaming,Value (Adjusted),1996,
Other Ad-Supported Streaming,Value (Adjusted),1997,
Other Ad-Supported Streaming,Value (Adjusted),1998,
Other Ad-Supported Streaming,Value (Adjusted),1999,
Other Ad-Supported Streaming,Value (Adjusted),2000,
Other Ad-Supported Streaming,Value (Adjusted),2001,
Other Ad-Supported Streaming,Value (Adjusted),2002,
Other Ad-Supported Streaming,Value (Adjusted),2003,
Other Ad-Supported Streaming,Value (Adjusted),2004,
Other Ad-Supported Streaming,Value (Adjusted),2005,
Other Ad-Supported Streaming,Value (Adjusted),2006,
Other Ad-Supported Streaming,Value (Adjusted),2007,
Other Ad-Supported Streaming,Value (Adjusted),2008,
Other Ad-Supported Streaming,Value (Adjusted),2009,
Other Ad-Supported Streaming,Value (Adjusted),2010,
Other Ad-Supported Streaming,Value (Adjusted),2011,
Other Ad-Supported Streaming,Value (Adjusted),2012,
Other Ad-Supported Streaming,Value (Adjusted),2013,
Other Ad-Supported Streaming,Value (Adjusted),2014,
Other Ad-Supported Streaming,Value (Adjusted),2015,
Other Ad-Supported Streaming,Value (Adjusted),2016,86.55959668
Other Ad-Supported Streaming,Value (Adjusted),2017,273.040319
Other Ad-Supported Streaming,Value (Adjusted),2018,255.9674439
Other Ad-Supported Streaming,Value (Adjusted),2019,251.0647101
Other Digital,Value (Adjusted),1973,
Other Digital,Value (Adjusted),1974,
Other Digital,Value (Adjusted),1975,
Other Digital,Value (Adjusted),1976,
Other Digital,Value (Adjusted),1977,
Other Digital,Value (Adjusted),1978,
Other Digital,Value (Adjusted),1979,
Other Digital,Value (Adjusted),1980,
Other Digital,Value (Adjusted),1981,
Other Digital,Value (Adjusted),1982,
Other Digital,Value (Adjusted),1983,
Other Digital,Value (Adjusted),1984,
Other Digital,Value (Adjusted),1985,
Other Digital,Value (Adjusted),1986,
Other Digital,Value (Adjusted),1987,
Other Digital,Value (Adjusted),1988,
Other Digital,Value (Adjusted),1989,
Other Digital,Value (Adjusted),1990,
Other Digital,Value (Adjusted),1991,
Other Digital,Value (Adjusted),1992,
Other Digital,Value (Adjusted),1993,
Other Digital,Value (Adjusted),1994,
Other Digital,Value (Adjusted),1995,
Other Digital,Value (Adjusted),1996,
Other Digital,Value (Adjusted),1997,
Other Digital,Value (Adjusted),1998,
Other Digital,Value (Adjusted),1999,
Other Digital,Value (Adjusted),2000,
Other Digital,Value (Adjusted),2001,
Other Digital,Value (Adjusted),2002,
Other Digital,Value (Adjusted),2003,
Other Digital,Value (Adjusted),2004,
Other Digital,Value (Adjusted),2005,
Other Digital,Value (Adjusted),2006,
Other Digital,Value (Adjusted),2007,
Other Digital,Value (Adjusted),2008,
Other Digital,Value (Adjusted),2009,
Other Digital,Value (Adjusted),2010,
Other Digital,Value (Adjusted),2011,
Other Digital,Value (Adjusted),2012,
Other Digital,Value (Adjusted),2013,
Other Digital,Value (Adjusted),2014,
Other Digital,Value (Adjusted),2015,
Other Digital,Value (Adjusted),2016,18.25940954
Other Digital,Value (Adjusted),2017,17.61095192
Other Digital,Value (Adjusted),2018,20.19906331
Other Digital,Value (Adjusted),2019,21.51717501
Other Tapes,Value (Adjusted),1973,89.82543243
Other Tapes,Value (Adjusted),1974,68.97034686
Other Tapes,Value (Adjusted),1975,48.47028625
Other Tapes,Value (Adjusted),1976,22.91477504
Other Tapes,Value (Adjusted),1977,
Other Tapes,Value (Adjusted),1978,
Other Tapes,Value (Adjusted),1979,
Other Tapes,Value (Adjusted),1980,
Other Tapes,Value (Adjusted),1981,
Other Tapes,Value (Adjusted),1982,
Other Tapes,Value (Adjusted),1983,
Other Tapes,Value (Adjusted),1984,
Other Tapes,Value (Adjusted),1985,
Other Tapes,Value (Adjusted),1986,
Other Tapes,Value (Adjusted),1987,
Other Tapes,Value (Adjusted),1988,
Other Tapes,Value (Adjusted),1989,
Other Tapes,Value (Adjusted),1990,
Other Tapes,Value (Adjusted),1991,
Other Tapes,Value (Adjusted),1992,
Other Tapes,Value (Adjusted),1993,
Other Tapes,Value (Adjusted),1994,
Other Tapes,Value (Adjusted),1995,
Other Tapes,Value (Adjusted),1996,
Other Tapes,Value (Adjusted),1997,
Other Tapes,Value (Adjusted),1998,
Other Tapes,Value (Adjusted),1999,
Other Tapes,Value (Adjusted),2000,
Other Tapes,Value (Adjusted),2001,
Other Tapes,Value (Adjusted),2002,
Other Tapes,Value (Adjusted),2003,
Other Tapes,Value (Adjusted),2004,
Other Tapes,Value (Adjusted),2005,
Other Tapes,Value (Adjusted),2006,
Other Tapes,Value (Adjusted),2007,
Other Tapes,Value (Adjusted),2008,
Other Tapes,Value (Adjusted),2009,
Other Tapes,Value (Adjusted),2010,
Other Tapes,Value (Adjusted),2011,
Other Tapes,Value (Adjusted),2012,
Other Tapes,Value (Adjusted),2013,
Other Tapes,Value (Adjusted),2014,
Other Tapes,Value (Adjusted),2015,
Other Tapes,Value (Adjusted),2016,
Other Tapes,Value (Adjusted),2017,
Other Tapes,Value (Adjusted),2018,
Other Tapes,Value (Adjusted),2019,
Paid Subscription,Value (Adjusted),1973,
Paid Subscription,Value (Adjusted),1974,
Paid Subscription,Value (Adjusted),1975,
Paid Subscription,Value (Adjusted),1976,
Paid Subscription,Value (Adjusted),1977,
Paid Subscription,Value (Adjusted),1978,
Paid Subscription,Value (Adjusted),1979,
Paid Subscription,Value (Adjusted),1980,
Paid Subscription,Value (Adjusted),1981,
Paid Subscription,Value (Adjusted),1982,
Paid Subscription,Value (Adjusted),1983,
Paid Subscription,Value (Adjusted),1984,
Paid Subscription,Value (Adjusted),1985,
Paid Subscription,Value (Adjusted),1986,
Paid Subscription,Value (Adjusted),1987,
Paid Subscription,Value (Adjusted),1988,
Paid Subscription,Value (Adjusted),1989,
Paid Subscription,Value (Adjusted),1990,
Paid Subscription,Value (Adjusted),1991,
Paid Subscription,Value (Adjusted),1992,
Paid Subscription,Value (Adjusted),1993,
Paid Subscription,Value (Adjusted),1994,
Paid Subscription,Value (Adjusted),1995,
Paid Subscription,Value (Adjusted),1996,
Paid Subscription,Value (Adjusted),1997,
Paid Subscription,Value (Adjusted),1998,
Paid Subscription,Value (Adjusted),1999,
Paid Subscription,Value (Adjusted),2000,
Paid Subscription,Value (Adjusted),2001,
Paid Subscription,Value (Adjusted),2002,
Paid Subscription,Value (Adjusted),2003,
Paid Subscription,Value (Adjusted),2004,
Paid Subscription,Value (Adjusted),2005,195.3099048
Paid Subscription,Value (Adjusted),2006,261.4904435
Paid Subscription,Value (Adjusted),2007,288.5853256
Paid Subscription,Value (Adjusted),2008,262.8967539
Paid Subscription,Value (Adjusted),2009,245.7220591
Paid Subscription,Value (Adjusted),2010,249.0256943
Paid Subscription,Value (Adjusted),2011,281.6399317
Paid Subscription,Value (Adjusted),2012,445.2763062
Paid Subscription,Value (Adjusted),2013,706.0116575
Paid Subscription,Value (Adjusted),2014,831.8340275
Paid Subscription,Value (Adjusted),2015,1247.676869
Paid Subscription,Value (Adjusted),2016,2390.487545
Paid Subscription,Value (Adjusted),2017,3651.028327
Paid Subscription,Value (Adjusted),2018,4740.333581
Paid Subscription,Value (Adjusted),2019,5934.397625
Ringtones & Ringbacks,Value (Adjusted),1973,
Ringtones & Ringbacks,Value (Adjusted),1974,
Ringtones & Ringbacks,Value (Adjusted),1975,
Ringtones & Ringbacks,Value (Adjusted),1976,
Ringtones & Ringbacks,Value (Adjusted),1977,
Ringtones & Ringbacks,Value (Adjusted),1978,
Ringtones & Ringbacks,Value (Adjusted),1979,
Ringtones & Ringbacks,Value (Adjusted),1980,
Ringtones & Ringbacks,Value (Adjusted),1981,
Ringtones & Ringbacks,Value (Adjusted),1982,
Ringtones & Ringbacks,Value (Adjusted),1983,
Ringtones & Ringbacks,Value (Adjusted),1984,
Ringtones & Ringbacks,Value (Adjusted),1985,
Ringtones & Ringbacks,Value (Adjusted),1986,
Ringtones & Ringbacks,Value (Adjusted),1987,
Ringtones & Ringbacks,Value (Adjusted),1988,
Ringtones & Ringbacks,Value (Adjusted),1989,
Ringtones & Ringbacks,Value (Adjusted),1990,
Ringtones & Ringbacks,Value (Adjusted),1991,
Ringtones & Ringbacks,Value (Adjusted),1992,
Ringtones & Ringbacks,Value (Adjusted),1993,
Ringtones & Ringbacks,Value (Adjusted),1994,
Ringtones & Ringbacks,Value (Adjusted),1995,
Ringtones & Ringbacks,Value (Adjusted),1996,
Ringtones & Ringbacks,Value (Adjusted),1997,
Ringtones & Ringbacks,Value (Adjusted),1998,
Ringtones & Ringbacks,Value (Adjusted),1999,
Ringtones & Ringbacks,Value (Adjusted),2000,
Ringtones & Ringbacks,Value (Adjusted),2001,
Ringtones & Ringbacks,Value (Adjusted),2002,
Ringtones & Ringbacks,Value (Adjusted),2003,
Ringtones & Ringbacks,Value (Adjusted),2004,
Ringtones & Ringbacks,Value (Adjusted),2005,551.8944762
Ringtones & Ringbacks,Value (Adjusted),2006,981.2866399
Ringtones & Ringbacks,Value (Adjusted),2007,1302.087123
Ringtones & Ringbacks,Value (Adjusted),2008,1160.236758
Ringtones & Ringbacks,Value (Adjusted),2009,837.504671
Ringtones & Ringbacks,Value (Adjusted),2010,525.2519353
Ringtones & Ringbacks,Value (Adjusted),2011,313.9182774
Ringtones & Ringbacks,Value (Adjusted),2012,162.5657282
Ringtones & Ringbacks,Value (Adjusted),2013,107.5489764
Ringtones & Ringbacks,Value (Adjusted),2014,71.61127201
Ringtones & Ringbacks,Value (Adjusted),2015,58.87458101
Ringtones & Ringbacks,Value (Adjusted),2016,59.99807088
Ringtones & Ringbacks,Value (Adjusted),2017,37.04036846
Ringtones & Ringbacks,Value (Adjusted),2018,25.41009037
Ringtones & Ringbacks,Value (Adjusted),2019,21.4267369
SACD,Value (Adjusted),1973,
SACD,Value (Adjusted),1974,
SACD,Value (Adjusted),1975,
SACD,Value (Adjusted),1976,
SACD,Value (Adjusted),1977,
SACD,Value (Adjusted),1978,
SACD,Value (Adjusted),1979,
SACD,Value (Adjusted),1980,
SACD,Value (Adjusted),1981,
SACD,Value (Adjusted),1982,
SACD,Value (Adjusted),1983,
SACD,Value (Adjusted),1984,
SACD,Value (Adjusted),1985,
SACD,Value (Adjusted),1986,
SACD,Value (Adjusted),1987,
SACD,Value (Adjusted),1988,
SACD,Value (Adjusted),1989,
SACD,Value (Adjusted),1990,
SACD,Value (Adjusted),1991,
SACD,Value (Adjusted),1992,
SACD,Value (Adjusted),1993,
SACD,Value (Adjusted),1994,
SACD,Value (Adjusted),1995,
SACD,Value (Adjusted),1996,
SACD,Value (Adjusted),1997,
SACD,Value (Adjusted),1998,
SACD,Value (Adjusted),1999,
SACD,Value (Adjusted),2000,
SACD,Value (Adjusted),2001,
SACD,Value (Adjusted),2002,
SACD,Value (Adjusted),2003,36.54227772
SACD,Value (Adjusted),2004,22.46641715
SACD,Value (Adjusted),2005,13.09047619
SACD,Value (Adjusted),2006,6.974769345
SACD,Value (Adjusted),2007,4.43977424
SACD,Value (Adjusted),2008,3.681029526
SACD,Value (Adjusted),2009,2.860004568
SACD,Value (Adjusted),2010,1.993143504
SACD,Value (Adjusted),2011,1.704842202
SACD,Value (Adjusted),2012,1.494897613
SACD,Value (Adjusted),2013,1.073719014
SACD,Value (Adjusted),2014,0.82446336
SACD,Value (Adjusted),2015,1.125529098
SACD,Value (Adjusted),2016,1.28555661
SACD,Value (Adjusted),2017,0.887142473
SACD,Value (Adjusted),2018,0.875277267
SACD,Value (Adjusted),2019,0.433302292
SoundExchange Distributions,Value (Adjusted),1973,
SoundExchange Distributions,Value (Adjusted),1974,
SoundExchange Distributions,Value (Adjusted),1975,
SoundExchange Distributions,Value (Adjusted),1976,
SoundExchange Distributions,Value (Adjusted),1977,
SoundExchange Distributions,Value (Adjusted),1978,
SoundExchange Distributions,Value (Adjusted),1979,
SoundExchange Distributions,Value (Adjusted),1980,
SoundExchange Distributions,Value (Adjusted),1981,
SoundExchange Distributions,Value (Adjusted),1982,
SoundExchange Distributions,Value (Adjusted),1983,
SoundExchange Distributions,Value (Adjusted),1984,
SoundExchange Distributions,Value (Adjusted),1985,
SoundExchange Distributions,Value (Adjusted),1986,
SoundExchange Distributions,Value (Adjusted),1987,
SoundExchange Distributions,Value (Adjusted),1988,
SoundExchange Distributions,Value (Adjusted),1989,
SoundExchange Distributions,Value (Adjusted),1990,
SoundExchange Distributions,Value (Adjusted),1991,
SoundExchange Distributions,Value (Adjusted),1992,
SoundExchange Distributions,Value (Adjusted),1993,
SoundExchange Distributions,Value (Adjusted),1994,
SoundExchange Distributions,Value (Adjusted),1995,
SoundExchange Distributions,Value (Adjusted),1996,
SoundExchange Distributions,Value (Adjusted),1997,
SoundExchange Distributions,Value (Adjusted),1998,
SoundExchange Distributions,Value (Adjusted),1999,
SoundExchange Distributions,Value (Adjusted),2000,
SoundExchange Distributions,Value (Adjusted),2001,
SoundExchange Distributions,Value (Adjusted),2002,
SoundExchange Distributions,Value (Adjusted),2003,
SoundExchange Distributions,Value (Adjusted),2004,9.338450503
SoundExchange Distributions,Value (Adjusted),2005,26.70457143
SoundExchange Distributions,Value (Adjusted),2006,41.5949881
SoundExchange Distributions,Value (Adjusted),2007,44.64439653
SoundExchange Distributions,Value (Adjusted),2008,118.7428879
SoundExchange Distributions,Value (Adjusted),2009,185.3044626
SoundExchange Distributions,Value (Adjusted),2010,292.171389
SoundExchange Distributions,Value (Adjusted),2011,331.8759486
SoundExchange Distributions,Value (Adjusted),2012,514.445212
SoundExchange Distributions,Value (Adjusted),2013,647.9302738
SoundExchange Distributions,Value (Adjusted),2014,835.2135873
SoundExchange Distributions,Value (Adjusted),2015,865.7197931
SoundExchange Distributions,Value (Adjusted),2016,941.5359648
SoundExchange Distributions,Value (Adjusted),2017,680.0275946
SoundExchange Distributions,Value (Adjusted),2018,970.0645127
SoundExchange Distributions,Value (Adjusted),2019,908.2
Synchronization,Value (Adjusted),1973,
Synchronization,Value (Adjusted),1974,
Synchronization,Value (Adjusted),1975,
Synchronization,Value (Adjusted),1976,
Synchronization,Value (Adjusted),1977,
Synchronization,Value (Adjusted),1978,
Synchronization,Value (Adjusted),1979,
Synchronization,Value (Adjusted),1980,
Synchronization,Value (Adjusted),1981,
Synchronization,Value (Adjusted),1982,
Synchronization,Value (Adjusted),1983,
Synchronization,Value (Adjusted),1984,
Synchronization,Value (Adjusted),1985,
Synchronization,Value (Adjusted),1986,
Synchronization,Value (Adjusted),1987,
Synchronization,Value (Adjusted),1988,
Synchronization,Value (Adjusted),1989,
Synchronization,Value (Adjusted),1990,
Synchronization,Value (Adjusted),1991,
Synchronization,Value (Adjusted),1992,
Synchronization,Value (Adjusted),1993,
Synchronization,Value (Adjusted),1994,
Synchronization,Value (Adjusted),1995,
Synchronization,Value (Adjusted),1996,
Synchronization,Value (Adjusted),1997,
Synchronization,Value (Adjusted),1998,
Synchronization,Value (Adjusted),1999,
Synchronization,Value (Adjusted),2000,
Synchronization,Value (Adjusted),2001,
Synchronization,Value (Adjusted),2002,
Synchronization,Value (Adjusted),2003,
Synchronization,Value (Adjusted),2004,
Synchronization,Value (Adjusted),2005,
Synchronization,Value (Adjusted),2006,
Synchronization,Value (Adjusted),2007,
Synchronization,Value (Adjusted),2008,
Synchronization,Value (Adjusted),2009,239.7637163
Synchronization,Value (Adjusted),2010,221.238929
Synchronization,Value (Adjusted),2011,223.3343284
Synchronization,Value (Adjusted),2012,212.2339858
Synchronization,Value (Adjusted),2013,208.1623435
Synchronization,Value (Adjusted),2014,204.8758184
Synchronization,Value (Adjusted),2015,218.8945293
Synchronization,Value (Adjusted),2016,228.8478595
Synchronization,Value (Adjusted),2017,242.0632514
Synchronization,Value (Adjusted),2018,290.6869289
Synchronization,Value (Adjusted),2019,276.2623602
Vinyl Single,Value (Adjusted),1973,1094.027703
Vinyl Single,Value (Adjusted),1974,1006.033631
Vinyl Single,Value (Adjusted),1975,1005.045641
Vinyl Single,Value (Adjusted),1976,1101.25713
Vinyl Single,Value (Adjusted),1977,1034.018658
Vinyl Single,Value (Adjusted),1978,1020.66744
Vinyl Single,Value (Adjusted),1979,1245.183405
Vinyl Single,Value (Adjusted),1980,775.6583738
Vinyl Single,Value (Adjusted),1981,721.1271155
Vinyl Single,Value (Adjusted),1982,749.7505803
Vinyl Single,Value (Adjusted),1983,691.2492982
Vinyl Single,Value (Adjusted),1984,734.9831174
Vinyl Single,Value (Adjusted),1985,667.6544331
Vinyl Single,Value (Adjusted),1986,532.0744681
Vinyl Single,Value (Adjusted),1987,457.5270079
Vinyl Single,Value (Adjusted),1988,389.8607168
Vinyl Single,Value (Adjusted),1989,239.9877
Vinyl Single,Value (Adjusted),1990,184.6520337
Vinyl Single,Value (Adjusted),1991,119.944804
Vinyl Single,Value (Adjusted),1992,120.9951875
Vinyl Single,Value (Adjusted),1993,90.58573287
Vinyl Single,Value (Adjusted),1994,81.42382186
Vinyl Single,Value (Adjusted),1995,78.34108858
Vinyl Single,Value (Adjusted),1996,77.39775335
Vinyl Single,Value (Adjusted),1997,56.70647477
Vinyl Single,Value (Adjusted),1998,40.30910982
Vinyl Single,Value (Adjusted),1999,42.81410744
Vinyl Single,Value (Adjusted),2000,39.04633624
Vinyl Single,Value (Adjusted),2001,45.32823151
Vinyl Single,Value (Adjusted),2002,35.38554364
Vinyl Single,Value (Adjusted),2003,29.87296467
Vinyl Single,Value (Adjusted),2004,26.93263261
Vinyl Single,Value (Adjusted),2005,17.27942857
Vinyl Single,Value (Adjusted),2006,12.55458482
Vinyl Single,Value (Adjusted),2007,4.933082489
Vinyl Single,Value (Adjusted),2008,3.44354375
Vinyl Single,Value (Adjusted),2009,2.979171425
Vinyl Single,Value (Adjusted),2010,2.696605918
Vinyl Single,Value (Adjusted),2011,5.228182752
Vinyl Single,Value (Adjusted),2012,5.281477044
Vinyl Single,Value (Adjusted),2013,3.269213385
Vinyl Single,Value (Adjusted),2014,5.938887283
Vinyl Single,Value (Adjusted),2015,6.205390253
Vinyl Single,Value (Adjusted),2016,5.198931395
Vinyl Single,Value (Adjusted),2017,6.33967756
Vinyl Single,Value (Adjusted),2018,5.386196747
Vinyl Single,Value (Adjusted),2019,6.795945687
